id,food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density
1892,puffed rice,153,0.2,0.037,0,0,34.1,0,2.4,0.6,0,0.053,1.1,0,1,0.093,0,0.7,13.4,0.1,0.055,0,0,0,0,2.3,0.02,12,9.5,0.6,37.2,42.9,0.094,0.4,51.6
1893,filinchen gutena,19,0.2,0.056,3.6,0.031,0.5,0.028,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
1894,melba toast crackers,117,1,0.1,0.2,0.4,23,0.3,3.6,1.9,0,0.2,1.5,0,0.1,0.055,0,0.071,1.2,0.2,0.087,0,0,0.1,0.029,27.9,0.046,1.1,17.7,0.3,58.8,60.6,0.042,0.6,58.5
1895,matzo crackers with egg onion,109,1.1,0.3,0.3,0.3,21.6,0,2.8,1.4,12.6,0.052,2,0.062,0.2,0.069,0.018,0.1,1.4,0.2,0.036,0.026,0,0,0,10.1,0.013,1.2,8.4,0.2,24.9,23.2,0.066,0.2,38.316
1896,cornnuts,126,4.4,0.7,2.7,0.9,20.3,0.2,2.4,2,0,0.2,0.4,0,0.024,0,0,0.015,0.5,0.1,0.094,0,0,0.6,0.097,2.5,0.001,0.5,32,0.1,77.8,78.7,0.064,0.5,32.1
1897,bagel chips,789,26.5,12,10.6,3.6,116.1,10.5,21.6,7.2,0,0.4,8.8,0,0.9,0.2,0,0.6,13.4,0.8,0.2,0,0,1.4,0.031,42,0.3,8.8,68.3,1.2,229.3,245,0.03,1.8,222.2
1898,pretzels,115,0.9,0.1,0.2,0.4,24.1,0.7,3,1,0,0.4,0.9,0.037,0,0.1,0.084,0,0.026,1.6,0.1,0.084,0.6,0,0.1,0.01,8.1,0.08,1.4,8.7,0.3,38.4,66.9,0.01,29.214
1899,potato raw,164,0.2,0.028,0.063,0.071,37.2,1.7,4.3,4.7,0,0.072,169,0,0.2,0.002,0,0.02,2.2,0.6,0.6,42,0,0.059,0.043,25.6,0.2,1.7,49,0.3,121.4,896.7,0.079,0.6,115.7
1900,gatto di patate home made,202,9.4,4.6,21,9.4,4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4
1901,baked potato,161,0.2,0.074,0.086,0.1,36.6,2,4.3,3.8,0,0.097,129.6,0,0,0.1,0.001,0,0.056,2.4,0.7,0.5,16.6,0,0.034,0.057,26,0.2,1.9,48.4,0.4,121.1,925.6,0.028,45.667
1902,potato sticks,188,12.4,3.2,2.2,6.4,19.2,0.006,2.4,1.2,0,0.2,0.8,0,0.041,0.043,0,0.062,1.7,0.1,0.1,17,0,3.3,0.089,6.5,0.1,0.8,23,0.2,61.9,445.3,0.042,0.4,59.5
1903,potato cooked,52,0.006,0.003,0.027,0.071,12.1,0.5,1.1,1.2,0,0.035,46.2,0,0.026,0.082,0,0.029,0.9,0.3,0.2,7.8,0,0.043,0.042,3,0.1,0.2,13.2,0.044,26.4,227.4,0.022,0.2,25.487
1904,vivaldi potatoes sainsburys,23,0.1,5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1905,potato ham chowder soup,192,12.5,3.9,5.9,0.8,13.4,0,6.5,1.4,21.6,0.9,204.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,35.5
1906,russet potato raw,292,0.3,0.06,0.061,0.2,66.7,2.3,7.9,4.8,0,0.068,290,0,0.3,0.056,0,0.1,3.8,1.1,1.3,21,0,0.097,0.083,48,0.4,3.2,84.9,0.6,203,1538.7,0.055,1.1,151.9
1907,russet potato baked,290,0.4,0.1,0.056,0.2,64.1,3.2,7.9,6.9,0,0.084,222.6,0,0.2,0.061,0,0.1,4,1.1,1.1,24.8,0,0.2,0.084,53.8,0.3,3.2,89.7,0.7,212.3,1644.5,0.01,1,161.1
1908,french fries,13,0.4,0.01,0.3,0.067,2.2,0.088,0.2,0.2,0,0.056,5.9,0,0.043,0.019,0,0.042,0.2,0.076,0.085,1.5,0,0.061,0.086,0.8,0.028,0.076,1.9,0.022,7.4,36.3,0,0.018,5.362
1909,potato scalloped,216,9,5.5,2.5,0.4,26.4,0,7,4.7,29.4,0.8,198.3,0,0.2,0.018,0,0.2,2.6,1.3,0.4,26,0,0,0,139.7,0.4,1.4,46.6,0.4,154.4,926.1,0.064,1,214.2
1910,cottage fries,11,0.4,0.084,0.2,0.055,1.9,0.019,0.2,0.2,0,0.058,4.4,0,0.026,0.063,0,0.086,0.1,0.003,0.016,0.8,0,0.043,0.076,0.9,0.053,0.025,1.9,0.086,6.7,32.5,0.06,0.027,4.413
1911,mashed potatoes,215,6.8,1.4,1.7,3.2,35.5,1.2,4,3.1,0,0.7,192.7,0.079,0.023,0.013,0.049,0.005,2.6,0,0.3,0,0,1,0.078,43.6,0.06,0.8,36.3,0.2,142.8,692.1,0.055,0.5,93.836
1912,mashed potato with milk and butter,237,8.9,5.5,2.2,0.4,35.3,3,3.9,3.2,23.1,0.7,158.8,0.026,0.2,0.023,0.05,0.069,2.3,1,0.5,12.6,0.08,0.3,0.033,50.4,0.3,0.5,37.8,0.2,94.5,596.4,0.074,0.6,114.854
1913,red potato raw,149,0.3,0.074,0.001,0.1,33.9,2.7,4,3.6,0,0.02,172.4,0,0.2,0.026,0,0.06,2.4,0.6,0.4,18.3,0,0.003,0.051,21.3,0.3,1.6,46.9,0.3,129.9,969.2,0.022,0.7,83.0
1914,potato pancake,59,3.2,0.5,0.8,1.7,6.1,0.4,1.3,0.7,20.9,0.2,10.5,0.098,0.085,0.096,0.004,0.098,0.4,0.2,0.052,6.1,0.091,0.055,0.024,7,0.043,0.4,7.9,0.006,28.2,136.8,0.072,0.2,24.864
1915,potato puffs,243,11,2.3,7.7,0.6,35.5,0.3,2.6,3.2,0,0.6,76.4,0,0.2,0.019,0,0.049,1.9,0.4,0.2,8.1,0,0.3,0.001,17.9,0.01,0.8,21.8,0.2,131.8,399.4,0.018,0.4,79.1
1916,red potato baked,74,0.1,0.008,0.078,0.004,16.7,1.2,2,1.5,0,0.037,65.2,0,0,0.097,0.034,0,0.046,1.4,0.3,0.2,10.7,0,0.066,0.075,7.7,0.1,0.6,23.8,0.1,61.2,463.3,0,20.689
1917,potatoes canned,132,0.3,0.098,0.021,0.1,29.7,0,3.6,4.2,0,0.7,263.5,0,0.1,0.011,0,0.015,2.7,0.5,0.4,22.8,0,0,0,117,0.2,2.2,42,0.2,66,615,0.049,1.2,179.8
1918,potato skin raw,22,0.099,0.093,0.008,0.07,4.7,0,1,1,0,0.053,31.7,0,0.055,0.031,0,0.024,0.4,0.1,0.038,4.3,0,0,0,11.4,0.2,1.2,8.7,0.2,14.4,156.9,0.096,0.1,23.697
1919,shoestring french fries,4,0.1,0.059,0.083,0.06,0.7,0.062,0.099,0.099,0,0.055,1.2,0,0.008,0.004,0,0.092,0.075,0.003,0.048,0.3,0,0.022,0.048,0.3,0.057,0.052,0.5,0.057,2.4,10.6,0.038,0.053,1.604
1920,hash brown potato,144,9,1.3,4.1,3,15.3,0.3,1.4,1.4,0,0.3,26.1,0.041,0,0.023,0.012,0,0.055,1,0.1,0.068,2.9,0,1.4,0.069,10.1,0.004,0.3,11.1,0.099,51.9,188.2,0.043,27.245
1921,baked chips lays,130,2,26,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1922,corn chips,162,10,1.3,2.7,4.9,17.2,0.031,1.9,1.2,0,0.2,0.3,0.021,0.066,0.062,0.086,0,0.076,0.3,0.2,0.073,0,0,2.2,0.068,41.4,0.021,0.4,21.6,0.1,58.2,43.2,0.042,30.501
1923,nacho cheese tortilla chips low fat,90,1,0.3,0.4,0.3,18.5,0.8,2.4,1.8,0.6,0.2,0.5,0,0.058,0.036,0.003,0.039,0.4,0.048,0.088,1.6,0,1,0.088,36.2,0.04,1.4,28,0.2,69.3,112.1,0.056,1,62.9
1924,corn chips barbecue,1036,64.7,8.8,18.8,32,111.3,0,13.9,10.3,0,1.5,2.4,0,0.1,0.014,0,0.4,3.3,0.3,0.5,3.4,0,0,0,259.4,0.3,3,152.5,1.5,409.9,467.3,0.005,2.1,466.0
1925,corn chips unsalted,490,29.4,3.8,8,15,50.5,1.2,5.8,3.9,0,0.024,0.9,0,0.1,0.028,0,0.1,1.3,0,0.2,1.8,0,1.2,0.026,109.1,0.2,1.5,61.6,0,161.9,162.8,0.087,0.7,202.0
1926,potato chips fat free,860,1.4,0.3,0.06,0.6,190.1,8.4,21.9,17,0,1.5,4.5,0,2.5,0.1,0,0.3,14.6,0,1.8,21.1,0,0.029,0.006,79.5,0.4,8.1,158.9,0,379.1,3695.6,0.038,1.7,339.1
1927,sweet chilli kettle baked chips,99,2.2,0.3,16.9,1.2,2.1,0.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
1928,taro chips,11,0.6,0.1,0.1,0.3,1.6,0.04,0.049,0.2,0,0.022,0.064,0,0.088,0.067,0,0.077,0.03,0.1,0.091,0.1,0,0.3,0.078,1.4,0.097,0.008,1.9,0.087,3,17.4,0.08,0.069,4.042
1929,potato chips reduced fat,801,35.4,7.1,8.2,18.6,113.7,0.4,12.1,10,0,0.8,1.7,0,0.4,0.028,0,0.5,11.9,0.5,1.1,43.7,0,9.3,0.076,35.7,1,2.3,151.3,0.7,328.1,2964.8,0.08,0.1,252.9
1930,onion snacks,150,6.8,1.3,4,0.9,19.5,1.4,2.3,1.2,0,0.3,0.6,0.087,0.092,0.01,0,0.048,1,0.061,0.084,0.5,0,0.8,0.003,8.7,0.072,1.1,8.4,0.1,21.6,42.9,0.002,0.086,40.199
1931,potato chips cheese,843,46.2,14.6,13.1,16.3,98.1,0,14.5,8.8,6.8,0.8,3.1,0.057,0.3,0,0,0.3,8.5,1.3,0.6,92,0,0,0,122.4,0.4,3.1,127.5,0.8,508.3,2597.6,0,1.5,385.109
1932,yuca cassava chips,9,0.4,0.1,0.1,0.1,1.2,0.006,0.054,0.002,0,0.041,0.062,0,0.049,0,0,0.087,0.058,0.06,0.066,0,0,0.067,0.047,0.9,0.019,0.099,0.8,0.083,1.7,14.8,0.002,0.078,2.621
1933,tortilla chips low fat,117,1.6,0.2,0.5,0.8,22.6,0.2,3.1,1.5,0,0.1,0.5,0,0.089,0.052,0,0.001,0.1,0,0.003,0.095,0,0.2,0.043,45,0.006,0.5,27.5,0,90,77,0.087,0.3,74.368
1934,ranch flavor tortilla chips,992,48.8,7,14,26.8,124.2,6,14.2,7.9,0,1,6.2,0,0.093,0,0,0.1,2.6,1.2,0.4,0,0,0,0.073,265.3,0.2,2.7,172.3,0.7,499,512.8,0.032,2.8,463.1
1935,potato chips,161,10.4,3.3,3,3.7,15.9,0.007,2.1,1.4,0,0.021,0.6,0,0.086,0.045,0,0.006,1.1,1.3,0.2,9.3,0,2.7,0.02,7.2,0.1,0.5,20.1,0.2,49.5,382.5,0.099,0.3,46.8
1936,tortilla chips,142,6.2,0.8,1.7,3.2,20.3,0.2,2.1,1.6,0,0.077,0.8,0.2,0,0.006,0.071,0.031,0.057,0.3,0.4,0.092,0,0,1.1,0.014,31.8,0.2,0.5,25.2,0,67.5,54.6,0.041,30.699
1937,sweet potato chips,149,9.1,0.8,2.6,3.4,15.9,2.5,0.8,2.5,0,0.05,1.3,0,0.013,0.088,0,0.069,0.6,0.4,0.1,0,0,2.7,0.08,16.5,0.1,0.6,18.2,0.4,40.6,259,0.087,0.1,45.4
1938,nacho cheese tortilla chips,156,8.2,1.2,2.7,3.7,18.2,0.8,2.2,1.5,0,0.2,0.5,0.021,0.2,0.023,0.085,0,0.021,0.4,0.2,0.038,0.1,0,0,0.002,41.1,0.071,0.3,22.5,0.1,75.6,66.9,0.072,30.369
1939,vegetable chips,134,6.6,0.5,4.1,1.9,17.1,1.1,1.5,1.3,0,0.3,1.8,0,0.019,0.002,0,0.025,0.8,0.1,0.2,1.4,0,1.4,0.027,14.7,0.011,0.4,15,0.015,36.8,237.2,0.083,0.1,43.0
1940,taco flavor tortilla chips,1090,54.9,10.5,32.4,7.6,143.2,0,17.9,12,11.4,1.8,3.6,0,0.5,0.022,0,0.5,4.5,0.7,0.7,2,0,0,0,351.9,0.4,4.6,199.8,1,542.5,492.6,0.075,2.9,586.5
1941,potato chips barbecue,970,64.2,15.9,12.9,32.4,104.5,14,15.2,8.7,0,1.3,3.8,0,0.4,0.2,0,0.4,9.3,1.2,1.2,67.1,0,12.2,0.015,99,0.7,3.8,148.5,1,368.3,2496.8,0.02,1.9,362.5
1942,pita chips,137,4.6,0.4,3.3,0.6,20.5,1.4,3.5,1.1,0,0.3,0.6,0.033,0,0.2,0.042,0,0.077,2.1,0.2,0.039,0,0,2.1,0.051,5.1,0.065,1.4,11.1,0.2,37.2,38.7,0.003,29.893
1943,potato chips sour cream and onion,1051,67.1,17.6,12.1,34.5,102,0,16,10.3,13.9,1.1,3.6,0.073,0.4,0.1,0.079,0.4,8,1.6,1.3,73.9,0,0,0,142.6,0.6,3.2,146.5,0.8,348.5,2635.4,0.0,1.9,415.171
1944,adobo fresco,780,60.2,8.4,43.1,5.9,53.6,5.8,5.8,3.7,0,49.4,63.6,0,0.1,0.094,0,0.037,1.4,0,0,16.7,0,7.7,0.088,354.2,0.088,9.2,66.2,0,109.4,538.6,0.024,0.7,503.4
1945,chili pepper sauce red,3,0.089,0.073,0.096,0.071,0.6,0.4,0.1,0.1,0,0.003,14.1,0,0.042,0.093,0,0.042,0.041,0,0.02,4.5,0,0.005,0.018,1.4,0.0,0.051,1.8,0,2.4,84.6,0.06,0.037,6.755
1946,creamy ranch sauce mcdonalds,132,14.7,2.2,3.1,8,1,1,0.3,0,5.9,0.2,11.7,0,0.009,0,0.007,0.075,0.009,0.021,0.006,0,0,1,0,8.2,0.079,0.039,0.8,0.056,8.5,22.1,0,0.071,24.274
1947,catsup,19,0.066,0.026,0.051,0.065,4.5,3.7,0.2,0.053,0,0.2,11.8,0,0.002,0.038,0,0.073,0.2,0.091,0.045,0.7,0,0.2,0.094,2.7,0.08,0.073,2.6,0.079,4.8,53.6,0.096,0.015,8.299
1948,chili pepper sauce green,3,0.032,0.048,0.037,0.016,0.8,0.4,0.1,0.3,0,0.03,14.1,0,0.002,0.07,0,0.046,0.1,0,0.07,10.2,0,0.006,0.036,0.8,0.062,0.023,1.8,0,2.1,84.6,0.023,0.09,12.206
1949,red wine vinegar,3,0,0,0,0,0.011,0,0.055,0,0,0.092,14.1,0,0,0,0,0,0,0,0,0.053,0,0,0,0.9,0.095,0.049,0.6,0.021,1.2,5.8,0,0.065,1.221
1950,fish sauce,6,0.013,0.08,0.0,0.039,0.7,0.7,0.9,0,0,1.4,12.8,0.058,0.052,0.043,0.047,0.031,0.4,0.086,0.093,0.012,0,0,0,7.7,0.089,0.1,31.5,0.082,1.3,51.8,0.021,0.057,9.498
1951,coleslaw dressing reduced fat,56,3.4,0.5,1.5,1.3,6.8,6.6,0,0.045,4.3,0.3,6.3,0,0.057,0,0.01,0.084,0.097,0.071,0.096,0,0,0.3,0.068,6.1,0,0.08,0.9,0.069,5.1,8.5,0.08,0.071,16.403
1952,sour dressing,21,2,1.6,0.2,0.035,0.6,0.6,0.4,0,0.6,0.094,9,0.023,0.046,0.046,0.075,0.02,0.033,0.08,0.084,0.1,0,0.2,0.024,13.6,0.017,0.091,1.2,0.021,10.4,19.4,0.058,0.064,16.853
1953,guava sauce cooked,86,0.3,0.014,0.068,0.1,22.6,14,0.8,8.6,0,0.017,213.2,0,0.054,0.062,0,0.047,1,0,0.2,348.4,0,1.3,0.008,16.7,0.2,0.4,16.7,0.3,26.2,535.5,0.044,0.4,397.8
1954,pizza sauce,136,2.9,1.2,1.2,0.2,21.8,9.5,5.5,5,0,0.9,218.5,0,0,0.2,0.074,0,0.1,3.6,0.9,0.3,28.5,0,0,0,136.1,0.3,2.3,52.9,0.6,126,892.1,0,35.8
1955,sweetn sour sauce mcdonalds,48,0.3,0.075,0.091,0.1,11,10,0.2,0,0,0.2,16.1,0,0.037,0,0,0.06,0.1,0.042,0.069,0.3,0,0.2,0,1.7,0.076,0.2,1.7,0.049,4.5,27.7,0,0.05,13.7
1956,nance syrup,4,0.002,0,0,0,0.8,0.6,0.028,0.3,0,0.035,2.8,0,0.035,0,0,0.084,0.069,0,0.012,0.4,0,0,0,1.6,0.015,0.013,0.6,0.069,0.3,7.2,0,0.0,3.227
1957,french dressing reduced fat,37,2.2,0.2,0.9,0.8,4.7,4.6,0.072,0.2,0,0.072,8.7,0,0.066,0.066,0,0.085,0.049,0.068,0.094,0,0,0.5,0.007,1.8,0.048,0.1,1.3,0.068,2.6,17.1,0.063,0.079,9.052
1958,peppercorn dressing,76,8.2,1.4,2,4.4,0.5,0.3,0.2,0,6.6,0.1,4.3,0.091,0,0.012,0.017,0,0,0,0.02,0.09,0.089,0.6,0.049,2.9,0.002,0.055,0.3,0,3.5,23.6,0.083,0.011,11.946
1959,sorghum syrup,61,0,0,0,0,15.7,15.7,0,0,0,0.096,4.8,0,0.03,0,0,0.051,0.02,0.2,0.1,0,0,0,0,31.5,0.098,0.8,21,0.3,11.8,210,0.013,0.046,48.0
1960,ranch dressing fat free,17,0.3,0.007,0.072,0.092,3.7,0.7,0.039,0.088,1,0.1,9.6,0.078,0.079,0.04,0,0.06,0.007,0.1,0.022,0,0,0.033,0.077,7,0.032,0.1,1.1,0.037,15.8,15.5,0.047,0.041,11.204
1961,caesar dressing low calorie,17,0.7,0.1,0.2,0.4,2.8,2.4,0.028,0.053,0.3,0.2,11,0.087,0.038,0.065,0,0.079,0.036,0.089,0,0,0,0.1,0.096,3.6,0.067,0.016,0.3,0.029,2.9,4.4,0.05,0.029,7.293
1962,sweet sour dressing,2,0,0,0,0,0.6,0.6,0.082,0,0,0.065,15.3,0,0.073,0.057,0,0,0.017,0.091,0.04,1.3,0,0.4,0.073,0.6,0.087,0.078,0.5,0.047,0.5,5.3,0.007,0.099,2.587
1963,mayonnaise imitation fat free,13,0.4,0.005,0.3,0.031,2.5,1.6,0.043,0.3,1.4,0.1,12.6,0,0,0,0,0.029,0,0,0,0,0,0.04,0.023,1,0.095,0.008,0.3,0.0,0.8,7.8,0.037,0.037,4.313
1964,sofrito,488,37.5,0,0,0,11.2,0,26.4,3.5,0,2.4,122.9,0,0.6,0.036,0,0.4,6,1.2,0.7,42,0,0,0,41.2,0.3,1.9,51.5,0.4,286.3,826.1,0,2.9,163.7
1965,turkey gravy instant,27,1,0.3,0.4,0.3,3.9,0.5,0.8,0.3,1.6,0.3,0.4,0.035,0.013,0.042,0.057,0.048,0.029,0.091,0.015,0.092,0,0.046,0.06,7.7,0.012,0.6,2,0.04,13.6,20.5,0.083,0.032,14.333
1966,teriyaki sauce,16,0.015,0,0,0,2.8,2.5,1.1,0.016,0,0.7,12.2,0,0.074,0.036,0,0.091,0.2,0.068,0.09,0,0,0,0,4.5,0.056,0.3,11,0,27.7,40.5,0.038,0.049,8.733
1967,tomato sauce,59,0.7,0.1,0.1,0.3,13,8.7,2.9,3.7,0,0.083,223.6,0,0.029,0.032,0.002,0,0.2,2.4,0.8,0.2,17.2,0,3.5,0.083,34.3,0.3,2.4,36.8,0.3,66.2,727.7,0.09,20.864
1968,barbecue sauce kraft,28,0.053,0.013,0.095,0.005,6.5,5.2,0.1,0.032,0,0.2,8.7,0,0.069,0,0,0.001,0.073,0.09,0.002,0.031,0,0.1,0,7.5,0.011,0.1,2.4,0.093,3,39.5,0,0.006,14.388
1969,cranberry sauce sweetened,418,0.4,0.056,0.057,0.2,107.8,105,0.6,2.8,0,0.076,168,0,0.0,0.033,0,0.093,0.3,0,0.029,5.5,0,2.3,0.075,11.1,0.097,0.6,8.3,0.2,16.6,72,0.025,0.1,128.8
1970,coleslaw dressing,62,5.3,0.8,1.4,2.9,3.8,3.2,0.1,0.024,4.2,0.1,6.4,0.032,0.021,0.055,0.079,0.078,0,0.049,0.017,0,0.057,0.5,0.01,2.2,0.01,0.01,0.3,0.057,4.2,1.4,0.091,0.062,11.62
1971,onion gravy dry,77,0.7,0.4,0.2,0.024,16.2,0,2.2,1.4,0.5,1,1,0,0.017,0.061,0.082,0.046,0.9,0.026,0.068,1.7,0,0,0,67.2,0.026,0.2,8.2,0.035,48.7,62.9,0.091,0.2,89.6
1972,corn syrup light,62,0.09,0,0,0,16.9,16.9,0,0,0,0.065,5,0,0.047,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0.2,0,0,0.2,0.056,0.015,19.806
1973,bacon tomato dressing,49,5.3,0.8,1.3,2.9,0.3,0.3,0.3,0.04,0.6,0.1,8.8,0.064,0.083,0,0.035,0.091,0.1,0,0.033,1.3,0,0.6,0.031,0.6,0.013,0.057,0.9,0,3.8,16.2,0.009,0.045,7.942
1974,pancake syrup,53,0.075,0.025,0.094,0.042,13.9,8.4,0,0,0,0.064,6,0,0.024,0,0,0.037,0.036,0.075,0,0,0,0,0,1,0.024,0.038,0.4,0.016,2,1.2,0.079,0.097,15.031
1975,balsamic vinegar,14,0,0,0,0,2.7,2.4,0.041,0,0,0.071,12.2,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0.074,0.1,1.9,0.046,3,17.9,0,0.033,7.129
1976,ranch dressing reduced fat,29,1.9,0.2,0.4,0.6,3.2,0.6,0.2,0.2,2.4,0.2,9.3,0.022,0.049,0.081,0,0.098,0.044,0.1,0.018,0.051,0,0.2,0.012,6,0.051,0.1,0.9,0.098,29,19.8,0.082,0.035,11.727
1977,barbecue sauce mcdonalds,46,0.3,0.09,0.069,0.1,10.3,9.6,0.4,0.4,0,0.3,16.2,0,0.032,0.076,0,0.025,0.2,0.071,0.088,0,0,0.3,0,3.1,0.008,0.1,3.6,0.056,8.4,55.2,0,0.097,14.6
1978,vinegar oil dressing,72,8,1.5,2.4,3.9,0.4,0.4,0,0,0,0.076,7.6,0,0,0,0,0,0,0,0,0,0,0.7,0.024,0,0,0,0,0,0,1.3,0.06,0,8.4
1979,poppyseed dressing,66,5.5,1,1.4,2.9,4,3.9,0.2,0.03,2.5,0.1,6.4,0.005,0.03,0.014,0.038,0.069,0.083,0.027,0.092,0.04,0.053,0.4,0.044,9.7,0.093,0.048,1.5,0.006,8.1,10.1,0.083,0.091,19.612
1980,honey mustard dressing,70,6.1,0.8,1.7,3.4,3.5,2.4,0.1,0.057,4.4,0.019,4.9,0.082,0.031,0.056,0.047,0.078,0.003,0.068,0.017,0.006,0.092,0.5,0.085,1.8,0.003,0.07,0.8,0.048,3.3,3,0.001,0.044,11.752
1981,french dressing fat free,21,0.024,0.067,0.088,0.097,5.1,2.6,0.01,0.4,0,0.1,10.4,0,0.04,0.027,0,0.0,0.072,0.071,0,0,0,0.032,0.017,0.8,0.073,0.081,0.5,0.002,0,13.4,0.019,0.01,6.399
1982,vinegar,3,0,0,0,0,0.089,0.063,0,0,0,0.024,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.089,0.002,0.1,0.072,0.6,0.3,0.031,0.028,1.02
1983,spray dressing,13,0.9,0.1,0,0,1.3,1.1,0.07,0.075,0,0.012,5.7,0,0,0,0,0,0,0,0,0.055,0,0,0,0.5,0,0.096,0,0,0,0,0,0,2.931
1984,honey mustard dressing fat free,25,0.2,0.031,0.1,0.056,5.8,2.7,0.2,0.2,0.2,0.2,8.4,0.01,0.077,0.049,0,0.019,0.093,0.001,0.039,0.3,0,0.1,0.018,3.6,0.014,0.053,2,0.027,5.6,10.4,0.096,0.061,10.426
1985,mushroom gravy,119,6.4,1,2.8,2.4,13,0,3,1,0,1.4,211.8,0,0.022,0.056,0,0.1,1.6,2.6,0.067,0,0,0,0,16.7,0.2,1.6,4.8,0.7,35.7,252.3,0.078,1.7,41.7
1986,white sauce,368,26.6,7.1,11.1,7.2,22.9,11,9.6,0.5,17.5,0.9,187.2,0.3,0.2,0.018,0.055,0.5,1,0.8,0.1,2,0.012,0.7,0.034,295,0.033,0.8,35,0.1,245,390,0.073,1,357.7
1987,marinara pasta sauce,129,3.9,0.4,1,1.3,19.9,14.5,3.7,4.8,5.3,1.1,230.7,0,0.021,0.062,0,0.2,10.3,0.2,0.5,5.3,0,6.3,0.042,71.3,0.2,2.1,47.5,0.4,89.8,842.2,0.061,0.5,111.0
1988,tomato sauce with mushrooms,86,0.3,0.027,0.025,0.1,20.7,14.1,3.6,3.7,0,1.1,215.5,0,0.2,0.016,0,0.3,3.1,0.9,0.3,30.4,0,4.7,0.049,31.9,0.5,2.2,46.6,0.5,78.4,931,0.019,0.5,92.8
1989,pork gravy powder,25,0.6,0.3,0.3,0.007,4.3,1.7,0.6,0.2,0.7,0.4,0.3,0.002,0.011,0.04,0.063,0.037,0.2,0.094,0.015,0.095,0,0.007,0.056,9.3,0.011,0.3,2.3,0.06,12.6,15.7,0.097,0.009,15.363
1990,beef gravy,123,5.5,2.7,2.2,0.2,11.2,0.5,8.7,0.9,7,1.5,203.8,0.079,0.068,0.067,0.025,0.064,1.5,0.027,0.049,0,0,0.013,0.005,14,0.2,1.6,4.7,0.5,69.9,188.7,0.085,2.3,41.982
1991,green goddess dressing,64,6.5,0.9,1.4,3.5,1.1,1,0.3,0.094,6,0.1,6.8,0.052,0.076,0.048,0.071,0.04,0.042,0,0.028,0.037,0,0.7,0.061,5.1,0.004,0.067,1.1,0,4.7,8.7,0.002,0.081,13.2
1992,salsa con queso,358,23.8,6.2,6.9,9.1,27.9,4.9,7.9,1.8,22.5,2,184.3,0.069,0.06,0.095,0.041,0.2,0.3,1.4,0.1,1,0,4.7,0.09,245,0.048,0.4,20,0.08,500,262.5,0.073,1,307.813
1993,cocktail sauce,19,0.2,0,0,0,4.2,1.8,0.2,0.3,0,0.2,9.9,0.002,0.078,0.066,0,0.069,0.1,0.033,0.042,1.7,0,0.2,0.014,3.9,0.023,0.1,2.6,0.096,4.5,46.4,0.075,0.086,10.667
1994,worcestershire sauce,13,0,0,0,0,3.3,1.7,0,0,0,0.2,13.4,0.036,0.023,0.009,0,0.051,0.1,0,0,2.2,0,0.036,0.042,18.2,0.09,0.9,2.2,0,10.2,136,0.067,0.023,24.673
1995,barbecue sauce,29,0.1,0.009,0.047,0.064,6.9,5.7,0.1,0.2,0,0.2,9.3,0,0.064,0.037,0,0.086,0.1,0.005,0.035,0.1,0,0.1,0.027,5.6,0.042,0.1,2.2,0.038,3.4,39.4,0.044,0.038,13.1
1996,tomato sauce with onions,103,0.5,0.007,0.047,0.2,24.4,0,3.8,4.4,0,1.3,210.9,0,0.2,0.003,0,0.3,3,0.9,0.7,31.1,0,0,0,41.7,0.4,2.3,46.6,0.7,95.6,1011.9,0.059,0.6,108.2
